Mode,Frequency(Hz)
      1., 0.00000000E+00
      2., 0.00000000E+00
      3., 0.00000000E+00
      4., 0.15603859E-05
      5., 0.28275760E-05
      6., 0.29710984E-05
      7., 0.21179974E+02
      8., 0.21368799E+02
      9., 0.22351050E+02
     10., 0.38983612E+02
     11., 0.41490087E+02
     12., 0.44545697E+02
     13., 0.46639543E+02
     14., 0.48677383E+02
     15., 0.49611780E+02
     16., 0.50230934E+02
     17., 0.50743181E+02
     18., 0.51204398E+02
     19., 0.51640278E+02
     20., 0.52054836E+02
     21., 0.52450204E+02
     22., 0.52821689E+02
     23., 0.53166689E+02
     24., 0.53477850E+02
     25., 0.53713912E+02
     26., 0.53753808E+02
     27., 0.53976414E+02
     28., 0.54042738E+02
     29., 0.54172590E+02
     30., 0.54309436E+02
     31., 0.54391280E+02
     32., 0.54685696E+02
     33., 0.55135360E+02
     34., 0.58563419E+02
     35., 0.60037501E+02
     36., 0.60239675E+02
     37., 0.60935463E+02
     38., 0.61664903E+02
     39., 0.62316244E+02
     40., 0.62933527E+02
     41., 0.63121897E+02
     42., 0.63383532E+02
     43., 0.63593146E+02
     44., 0.64005577E+02
     45., 0.64291130E+02
     46., 0.64641339E+02
     47., 0.65154874E+02
     48., 0.65578976E+02
     49., 0.65987891E+02
     50., 0.66300266E+02
     51., 0.66370924E+02
     52., 0.66585618E+02
     53., 0.66639406E+02
     54., 0.66789979E+02
     55., 0.66897567E+02
     56., 0.76153141E+02
     57., 0.76283012E+02
     58., 0.76340784E+02
     59., 0.76488278E+02
     60., 0.76544080E+02
     61., 0.76643386E+02
     62., 0.76823421E+02
     63., 0.77062954E+02
     64., 0.77544586E+02
     65., 0.78051273E+02
     66., 0.78615765E+02
     67., 0.79218641E+02
     68., 0.79853373E+02
     69., 0.80503495E+02
     70., 0.81157746E+02
     71., 0.81801155E+02
     72., 0.82421991E+02
     73., 0.83007106E+02
     74., 0.83545545E+02
     75., 0.84025669E+02
     76., 0.84437177E+02
     77., 0.84769737E+02
     78., 0.85014594E+02
     79., 0.85164548E+02
     80., 0.87812884E+02
     81., 0.94306541E+02
     82., 0.96370835E+02
     83., 0.10807519E+03
     84., 0.11481668E+03
     85., 0.11799837E+03
     86., 0.12663936E+03
     87., 0.13043740E+03
     88., 0.13454609E+03
     89., 0.14218468E+03
     90., 0.14689015E+03
     91., 0.14750360E+03
     92., 0.15138810E+03
     93., 0.15264066E+03
     94., 0.15341525E+03
     95., 0.15638402E+03
     96., 0.16060349E+03
     97., 0.16526804E+03
     98., 0.16601475E+03
     99., 0.16855216E+03
    100., 0.16872147E+03
