Mode frequency =  0.15424E+02 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000,-0.13875E-05,-0.60715E-15,-0.81445E-15,-0.10597E-01, 0.15874E-16, 0.21695E-16
    2.,  1.0115, 0.31634E-05,-0.61453E-15,-0.49049E-15,-0.10512E-01, 0.69258E-17, 0.38825E-16
    3.,  2.0230,-0.53622E-05,-0.42024E-15,-0.39335E-15,-0.10204E-01,-0.59708E-16, 0.11243E-15
    4.,  3.0345, 0.83190E-05,-0.37210E-15,-0.34001E-15,-0.97427E-02,-0.50739E-16, 0.14691E-15
    5.,  4.0460,-0.99636E-05,-0.23332E-15,-0.19559E-15,-0.91561E-02,-0.22067E-16, 0.11673E-15
    6.,  5.0575, 0.12497E-04,-0.12533E-15,-0.13401E-15,-0.84298E-02, 0.15231E-16, 0.37316E-17
    7.,  6.0690,-0.13808E-04,-0.33393E-16,-0.49006E-16,-0.75715E-02, 0.33873E-16,-0.25547E-17
    8.,  7.0805, 0.16087E-04,-0.20817E-16, 0.45970E-16,-0.66016E-02, 0.32543E-16, 0.91690E-16
    9.,  8.0920,-0.16873E-04, 0.21814E-15, 0.16003E-15,-0.55322E-02,-0.47408E-17, 0.11587E-15
   10.,  9.1035, 0.18601E-04, 0.19169E-15, 0.28558E-15,-0.43710E-02,-0.12110E-15, 0.26521E-17
   11., 10.1150,-0.18639E-04, 0.26335E-15, 0.21565E-15,-0.31576E-02,-0.54315E-16,-0.28194E-16
   12., 11.1265, 0.20712E-04, 0.46360E-15, 0.32651E-15,-0.18964E-02,-0.55744E-16, 0.66856E-17
   13., 12.1380,-0.19539E-04, 0.43647E-15, 0.42688E-15,-0.57797E-03, 0.13480E-16, 0.58372E-16
   14., 13.1495, 0.21138E-04, 0.46829E-15, 0.37722E-15, 0.74599E-03, 0.49892E-16, 0.76064E-16
   15., 14.1610,-0.19160E-04, 0.40896E-15, 0.52497E-15, 0.20544E-02,-0.24910E-16, 0.85625E-16
   16., 15.1725, 0.20191E-04, 0.40148E-15, 0.41297E-15, 0.33329E-02,-0.86617E-16, 0.23063E-16
   17., 16.1840,-0.17584E-04, 0.41677E-15, 0.50134E-15, 0.45606E-02,-0.73061E-16, 0.32022E-16
   18., 17.1955, 0.18148E-04, 0.41265E-15, 0.40397E-15, 0.57196E-02,-0.71783E-16, 0.63494E-16
   19., 18.2070,-0.14842E-04, 0.32439E-15, 0.32721E-15, 0.67988E-02, 0.13185E-16,-0.42856E-17
   20., 19.2185, 0.14921E-04, 0.28037E-15, 0.37123E-15, 0.77722E-02,-0.16874E-16, 0.24248E-16
   21., 20.2300,-0.11336E-04, 0.27972E-15, 0.39422E-15, 0.85951E-02, 0.37380E-17, 0.13010E-16
   22., 21.2415, 0.93190E-05, 0.28970E-15, 0.22248E-15, 0.92877E-02,-0.81696E-18,-0.26184E-16
