Mode,Frequency(Hz)
      1., 0.00000000E+00
      2., 0.00000000E+00
      3., 0.87757931E-06
      4., 0.18719671E-05
      5., 0.22649599E-05
      6., 0.37822685E-05
      7., 0.44668725E+02
      8., 0.60602893E+02
      9., 0.60876327E+02
     10., 0.89711971E+02
     11., 0.97840708E+02
     12., 0.99001440E+02
     13., 0.13542072E+03
     14., 0.14581200E+03
     15., 0.14861305E+03
     16., 0.14937858E+03
     17., 0.15197220E+03
     18., 0.15311664E+03
     19., 0.18188449E+03
     20., 0.19827720E+03
     21., 0.20294358E+03
     22., 0.20373366E+03
     23., 0.21793352E+03
     24., 0.22620768E+03
     25., 0.22881243E+03
     26., 0.25111251E+03
     27., 0.25193882E+03
     28., 0.25906006E+03
     29., 0.27538289E+03
     30., 0.27978232E+03
     31., 0.28025687E+03
     32., 0.28086762E+03
     33., 0.29255372E+03
     34., 0.30381989E+03
     35., 0.30520874E+03
     36., 0.32021252E+03
     37., 0.32127422E+03
     38., 0.32343401E+03
     39., 0.33274654E+03
     40., 0.34123305E+03
     41., 0.34533013E+03
     42., 0.34930248E+03
     43., 0.35033107E+03
     44., 0.35278077E+03
     45., 0.35707238E+03
     46., 0.35865936E+03
     47., 0.35933647E+03
     48., 0.36238008E+03
     49., 0.36262019E+03
     50., 0.36420666E+03
     51., 0.36648533E+03
     52., 0.36959259E+03
     53., 0.36980789E+03
     54., 0.37726872E+03
     55., 0.37746554E+03
     56., 0.37747489E+03
     57., 0.37909732E+03
     58., 0.37914323E+03
     59., 0.37998439E+03
     60., 0.38000962E+03
     61., 0.38079216E+03
     62., 0.38113211E+03
     63., 0.38464992E+03
     64., 0.38580074E+03
     65., 0.38960584E+03
     66., 0.39179635E+03
     67., 0.39453076E+03
     68., 0.39553717E+03
     69., 0.39834293E+03
     70., 0.39883952E+03
     71., 0.39974514E+03
     72., 0.40054562E+03
     73., 0.40536730E+03
     74., 0.40757199E+03
     75., 0.40951078E+03
     76., 0.40988115E+03
     77., 0.41053722E+03
     78., 0.41393095E+03
     79., 0.41447765E+03
     80., 0.41567525E+03
     81., 0.41686903E+03
     82., 0.41807763E+03
     83., 0.42190713E+03
     84., 0.42219059E+03
     85., 0.42381554E+03
     86., 0.42490954E+03
     87., 0.42502038E+03
     88., 0.42608488E+03
     89., 0.43061277E+03
     90., 0.43085617E+03
     91., 0.43342544E+03
     92., 0.43482814E+03
     93., 0.44509592E+03
     94., 0.44757541E+03
     95., 0.45494329E+03
     96., 0.45679009E+03
     97., 0.45931065E+03
     98., 0.46326247E+03
     99., 0.47013981E+03
    100., 0.47763187E+03
