Mode frequency =  0.52915E+01 Hz
 
Station,X(m),UX,UY,UZ,ROTX,ROTY,ROTZ
    1.,  0.0000, 0.26346E-15, 0.13475E-01,-0.12658E-01,-0.39313E-15,-0.10627E-02,-0.11311E-02
    2.,  1.0115, 0.26628E-15, 0.12308E-01,-0.11561E-01,-0.38055E-15,-0.10617E-02,-0.11310E-02
    3.,  2.0230, 0.26758E-15, 0.11108E-01,-0.10434E-01,-0.39010E-15,-0.10607E-02,-0.11283E-02
    4.,  3.0345, 0.26812E-15, 0.98903E-02,-0.92907E-02,-0.38879E-15,-0.10559E-02,-0.11255E-02
    5.,  4.0460, 0.26411E-15, 0.86624E-02,-0.81375E-02,-0.37774E-15,-0.10511E-02,-0.11175E-02
    6.,  5.0575, 0.26140E-15, 0.74258E-02,-0.69759E-02,-0.37828E-15,-0.10402E-02,-0.11093E-02
    7.,  6.0690, 0.26389E-15, 0.61862E-02,-0.58109E-02,-0.37394E-15,-0.10294E-02,-0.10939E-02
    8.,  7.0805, 0.26801E-15, 0.49504E-02,-0.46505E-02,-0.37210E-15,-0.10106E-02,-0.10782E-02
    9.,  8.0920, 0.27040E-15, 0.37234E-02,-0.35014E-02,-0.35594E-15,-0.99209E-03,-0.10539E-02
   10.,  9.1035, 0.26758E-15, 0.25158E-02,-0.23649E-02,-0.34711E-15,-0.96447E-03,-0.10293E-02
   11., 10.1150, 0.27251E-15, 0.13401E-02,-0.12502E-02,-0.34860E-15,-0.93714E-03,-0.99531E-03
   12., 11.1265, 0.27132E-15, 0.18607E-03,-0.17534E-03,-0.33392E-15,-0.90005E-03,-0.96083E-03
   13., 12.1380, 0.27197E-15,-0.92980E-03, 0.86930E-03,-0.32214E-15,-0.86316E-03,-0.91652E-03
   14., 13.1495, 0.27257E-15,-0.19948E-02, 0.18724E-02,-0.31797E-15,-0.81645E-03,-0.87182E-03
   15., 14.1610, 0.27251E-15,-0.30066E-02, 0.28229E-02,-0.30244E-15,-0.77000E-03,-0.81747E-03
   16., 15.1725, 0.26856E-15,-0.39582E-02, 0.37161E-02,-0.29420E-15,-0.71420E-03,-0.76278E-03
   17., 16.1840, 0.26888E-15,-0.48410E-02, 0.45469E-02,-0.28243E-15,-0.65864E-03,-0.69915E-03
   18., 17.1955, 0.26661E-15,-0.56512E-02, 0.53068E-02,-0.26194E-15,-0.59463E-03,-0.63519E-03
   19., 18.2070, 0.26709E-15,-0.63856E-02, 0.59893E-02,-0.24644E-15,-0.53081E-03,-0.56340E-03
   20., 19.2185, 0.27390E-15,-0.70286E-02, 0.65993E-02,-0.23722E-15,-0.45989E-03,-0.49143E-03
   21., 20.2300, 0.26818E-15,-0.75687E-02, 0.71293E-02,-0.22291E-15,-0.38928E-03,-0.41317E-03
   22., 21.2415, 0.27390E-15,-0.80335E-02, 0.75439E-02,-0.22042E-15,-0.31346E-03,-0.33467E-03
   23., 22.2530, 0.26688E-15,-0.83925E-02, 0.78744E-02,-0.22465E-15,-0.23760E-03,-0.25217E-03
   24., 23.2645, 0.26617E-15,-0.86443E-02, 0.81178E-02,-0.21662E-15,-0.15869E-03,-0.16949E-03
   25., 24.2760, 0.26628E-15,-0.87979E-02, 0.82629E-02,-0.20600E-15,-0.79861E-04,-0.84749E-04
   26., 25.2875, 0.26708E-15,-0.88502E-02, 0.83106E-02,-0.19884E-15,-0.26258E-16, 0.14626E-16
   27., 26.2990, 0.26669E-15,-0.87979E-02, 0.82629E-02,-0.18627E-15, 0.79861E-04, 0.84749E-04
   28., 27.3105, 0.27025E-15,-0.86443E-02, 0.81178E-02,-0.18757E-15, 0.15869E-03, 0.16949E-03
   29., 28.3220, 0.26590E-15,-0.83925E-02, 0.78744E-02,-0.17260E-15, 0.23760E-03, 0.25217E-03
   30., 29.3335, 0.26338E-15,-0.80335E-02, 0.75439E-02,-0.15515E-15, 0.31346E-03, 0.33467E-03
   31., 30.3450, 0.26907E-15,-0.75687E-02, 0.71293E-02,-0.14897E-15, 0.38928E-03, 0.41317E-03
   32., 31.3565, 0.27238E-15,-0.70286E-02, 0.65993E-02,-0.14561E-15, 0.45989E-03, 0.49143E-03
