ELEM,MAT,TYP,SEC,P1,P2
1,1,2,1,1,2
2,1,2,1,3,4
3,1,2,1,5,2
4,1,2,1,6,4
5,1,1,1,7,8
6,1,1,1,9,10
7,1,1,1,11,12
8,1,1,1,13,14
9,1,1,1,8,15
10,1,1,1,10,16
11,1,1,1,12,17
12,1,1,1,14,18
13,1,1,1,15,19
14,1,1,1,16,20
15,1,1,1,17,21
16,1,1,1,18,22
17,1,1,1,23,24
18,1,1,1,25,26
19,1,1,1,27,28
20,1,1,1,29,30
21,1,1,1,24,31
22,1,1,1,26,32
23,1,1,1,28,33
24,1,1,1,30,34
25,1,2,2,19,35
26,1,2,2,20,35
27,1,2,2,21,36
28,1,2,2,22,36
29,1,2,2,19,37
30,1,2,2,20,38
31,1,2,2,21,37
32,1,2,2,22,38
33,1,1,2,39,40
34,1,1,2,41,42
35,1,1,2,43,44
36,1,1,2,45,46
37,1,1,2,40,23
38,1,1,2,42,25
39,1,1,2,44,27
40,1,1,2,46,29
41,1,1,3,47,19
42,1,1,3,48,20
43,1,1,3,49,21
44,1,1,3,50,22
45,1,1,3,19,51
46,1,1,3,20,52
47,1,1,3,21,53
48,1,1,3,22,54
49,1,1,3,51,55
50,1,1,3,52,56
51,1,1,3,53,57
52,1,1,3,54,58
53,1,1,3,55,39
54,1,1,3,56,41
55,1,1,3,57,43
56,1,1,3,58,45
57,1,2,4,1,59
58,1,2,4,3,60
59,1,2,4,5,61
60,1,2,4,6,62
61,1,2,4,59,63
62,1,2,4,60,64
63,1,2,4,61,65
64,1,2,4,62,66
65,1,1,4,63,67
66,1,1,4,64,68
67,1,1,4,65,69
68,1,1,4,66,70
69,1,1,4,67,71
70,1,1,4,68,72
71,1,1,4,69,73
72,1,1,4,70,74
73,1,1,4,71,7
74,1,1,4,72,9
75,1,1,4,73,11
76,1,1,4,74,13
77,1,1,4,75,76
78,1,1,4,77,78
79,1,1,4,79,80
80,1,1,4,81,82
81,1,1,4,76,83
82,1,1,4,78,84
83,1,1,4,80,85
84,1,1,4,82,86
85,1,1,4,83,47
86,1,1,4,84,48
87,1,1,4,85,49
88,1,1,4,86,50
89,1,2,4,47,48
90,1,2,4,49,50
91,1,2,4,47,49
92,1,2,4,48,50
93,1,2,5,1,87
94,1,2,5,3,88
95,1,2,5,5,89
96,1,2,5,6,90
97,1,1,5,87,91
98,1,1,5,88,92
99,1,1,5,89,93
100,1,1,5,90,94
101,1,1,5,91,95
102,1,1,5,92,96
103,1,1,5,93,97
104,1,1,5,94,98
105,1,1,5,75,95
106,1,1,5,77,96
107,1,1,5,79,97
108,1,1,5,81,98
109,1,1,5,47,20
110,1,1,5,48,19
111,1,1,5,49,22
112,1,1,5,50,21
113,1,1,6,39,42
114,1,1,6,41,40
115,1,1,6,43,46
116,1,1,6,45,44
117,1,1,6,39,44
118,1,1,6,41,46
119,1,1,6,43,40
120,1,1,6,45,42
121,1,1,7,95,7
122,1,1,7,96,9
123,1,1,7,97,11
124,1,1,7,98,13
125,1,1,7,8,83
126,1,1,7,10,84
127,1,1,7,12,85
128,1,1,7,14,86
129,1,1,7,83,19
130,1,1,7,84,20
131,1,1,7,85,21
132,1,1,7,86,22
133,1,1,7,19,52
134,1,1,7,20,51
135,1,1,7,21,54
136,1,1,7,22,53
137,1,1,7,19,53
138,1,1,7,20,54
139,1,1,7,21,51
140,1,1,7,22,52
141,1,1,7,51,56
142,1,1,7,52,55
143,1,1,7,53,58
144,1,1,7,54,57
145,1,1,7,51,57
146,1,1,7,52,58
147,1,1,7,53,55
148,1,1,7,54,56
149,1,1,7,55,41
150,1,1,7,56,39
151,1,1,7,57,45
152,1,1,7,58,43
153,1,1,7,55,43
154,1,1,7,56,45
155,1,1,7,57,39
156,1,1,7,58,41
157,1,1,7,40,25
158,1,1,7,42,23
159,1,1,7,44,29
160,1,1,7,46,27
161,1,1,7,40,27
162,1,1,7,42,29
163,1,1,7,44,23
164,1,1,7,46,25
165,1,1,7,23,26
166,1,1,7,25,24
167,1,1,7,27,30
168,1,1,7,29,28
169,1,1,7,23,28
170,1,1,7,25,30
171,1,1,7,27,24
172,1,1,7,29,26
173,1,1,7,24,32
174,1,1,7,26,31
175,1,1,7,28,34
176,1,1,7,30,33
177,1,1,7,24,33
178,1,1,7,26,34
179,1,1,7,28,31
180,1,1,7,30,32
181,1,2,7,31,99
182,1,2,7,32,99
183,1,2,7,33,100
184,1,2,7,34,100
185,1,2,7,31,101
186,1,2,7,32,102
187,1,2,7,33,101
188,1,2,7,34,102
189,1,2,8,2,59
190,1,2,8,4,60
191,1,2,8,2,61
192,1,2,8,4,62
193,1,1,9,75,8
194,1,1,9,77,10
195,1,1,9,79,12
196,1,1,9,81,14
197,1,1,9,76,15
198,1,1,9,78,16
199,1,1,9,80,17
200,1,1,9,82,18
201,1,2,9,35,37
202,1,2,9,35,38
203,1,2,9,36,37
204,1,2,9,36,38
205,1,2,9,39,103
206,1,2,9,41,103
207,1,2,9,43,104
208,1,2,9,45,104
209,1,2,9,39,105
