Mode,Frequency(Hz)
      1., 0.00000000E+00
      2., 0.00000000E+00
      3., 0.00000000E+00
      4., 0.73198162E+01
      5., 0.73198162E+01
      6., 0.14631107E+02
      7., 0.14631107E+02
      8., 0.19293894E+02
      9., 0.19337959E+02
     10., 0.19337959E+02
     11., 0.19383772E+02
     12., 0.19419493E+02
     13., 0.19419493E+02
     14., 0.19508105E+02
     15., 0.19532894E+02
     16., 0.19532894E+02
     17., 0.19535667E+02
     18., 0.19579727E+02
     19., 0.19634303E+02
     20., 0.19640244E+02
     21., 0.19644917E+02
     22., 0.19644917E+02
     23., 0.19701147E+02
     24., 0.19727913E+02
     25., 0.19731049E+02
     26., 0.19731049E+02
     27., 0.19745980E+02
     28., 0.21921487E+02
     29., 0.21921487E+02
     30., 0.29127990E+02
     31., 0.29127990E+02
     32., 0.35277326E+02
     33., 0.35277326E+02
     34., 0.38778205E+02
     35., 0.38863930E+02
     36., 0.38863930E+02
     37., 0.38948189E+02
     38., 0.38948189E+02
     39., 0.39009750E+02
     40., 0.39306351E+02
     41., 0.39306351E+02
     42., 0.39333825E+02
     43., 0.39528314E+02
     44., 0.39622375E+02
     45., 0.39643150E+02
     46., 0.39643150E+02
     47., 0.39667855E+02
     48., 0.39751655E+02
     49., 0.39881882E+02
     50., 0.39913385E+02
     51., 0.39913385E+02
     52., 0.39919408E+02
     53., 0.39977836E+02
     54., 0.41856369E+02
     55., 0.43849432E+02
     56., 0.43849432E+02
     57., 0.50391291E+02
     58., 0.50391291E+02
     59., 0.54806031E+02
     60., 0.54806031E+02
     61., 0.54998399E+02
     62., 0.54998399E+02
     63., 0.55312021E+02
     64., 0.55312021E+02
     65., 0.57778310E+02
     66., 0.58342886E+02
     67., 0.59179728E+02
     68., 0.59203201E+02
     69., 0.59203201E+02
     70., 0.59679837E+02
     71., 0.59679837E+02
     72., 0.60124561E+02
     73., 0.60432990E+02
     74., 0.60590384E+02
     75., 0.60611335E+02
     76., 0.60611335E+02
     77., 0.60806987E+02
     78., 0.60921710E+02
     79., 0.61025565E+02
     80., 0.61186910E+02
     81., 0.62231194E+02
     82., 0.62231194E+02
     83., 0.63570237E+02
     84., 0.63570237E+02
     85., 0.63772090E+02
     86., 0.63772090E+02
     87., 0.65343575E+02
     88., 0.65343575E+02
     89., 0.65723938E+02
     90., 0.65723938E+02
     91., 0.67625502E+02
     92., 0.67625502E+02
     93., 0.70594423E+02
     94., 0.71036219E+02
     95., 0.71036219E+02
     96., 0.71418687E+02
     97., 0.72699354E+02
     98., 0.74180514E+02
     99., 0.75530618E+02
    100., 0.76386084E+02
